Date : 2021-08-22 16:13:33
Directory : f:\xunzheji
Total : 317 files,  59613 codes, 1984 comments, 3315 blanks, all 64912 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| f:\xunzheji\android\app\src\main\assets\oldbank\js\jquery.material-cards.min.js | JavaScript  |          1 |          0 |          0 |          1 |
| f:\xunzheji\android\app\src\main\assets\oldbank\js\jquery.min.js                | JavaScript  |          3 |          2 |          0 |          5 |
| f:\xunzheji\android\app\src\main\java\com\zheshang\MainActivity.java            | Java        |          8 |          4 |          4 |         16 |
| f:\xunzheji\android\app\src\main\java\com\zheshang\MainApplication.java         | Java        |         62 |         13 |          9 |         84 |
| f:\xunzheji\android\app\src\main\res\values\strings.xml                         | XML         |          3 |          0 |          1 |          4 |
| f:\xunzheji\android\app\src\main\res\values\styles.xml                          | XML         |          5 |          2 |          3 |         10 |
| f:\xunzheji\android\build.gradle                                                | Groovy      |         35 |          5 |          6 |         46 |
| f:\xunzheji\android\gradle.properties                                           | Properties  |         13 |         19 |          7 |         39 |
| f:\xunzheji\android\gradle\wrapper\gradle-wrapper.properties                    | Properties  |          5 |          0 |          1 |          6 |
| f:\xunzheji\android\gradlew.bat                                                 | Batch       |         68 |          0 |         22 |         90 |
| f:\xunzheji\android\settings.gradle                                             | Groovy      |          9 |          0 |          2 |         11 |
| f:\xunzheji\animal\16969-walker-man.json                                        | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\animal\67511-stars (1).json                                         | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\animal\71338-welcomegolden.json                                     | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\animal\9349-doraemon-run.json                                       | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\animal\9621-waves (1).json                                          | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\animal\LoginCar.json                                                | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\animal\background.json                                              | JSON        |          1 |          0 |          0 |          1 |
